Location,Age,Sex,Cause of death or injury,Deaths annual % change 2010-2017,Percent of total deaths 2017
Global,All ages,Both,Acne vulgaris,0.0,0.0
Global,All ages,Both,Acute glomerulonephritis,-0.00964242,0.00019988
Global,All ages,Both,Acute hepatitis,-0.02662695,0.00225918
Global,All ages,Both,Adverse effects of medical treatment,-0.000545556,0.002173023
Global,All ages,Both,African trypanosomiasis,-0.181241213,2.439333731e-05
Global,All ages,Both,Age-related and other hearing loss,0.0,0.0
Global,All ages,Both,Alcohol use disorders,-0.03098691,0.003305613
Global,All ages,Both,Alopecia areata,0.0,0.0
Global,All ages,Both,Alzheimer's disease and other dementias,0.024707331,0.044947927
Global,All ages,Both,Animal contact,-0.015247583,0.001449132
Global,All ages,Both,Anxiety disorders,0.0,0.0
Global,All ages,Both,Aortic aneurysm,-0.000114974,0.002989507
Global,All ages,Both,Appendicitis,-0.010037634,0.00078548
Global,All ages,Both,Asthma,-0.016235636,0.008849055
Global,All ages,Both,Atrial fibrillation and flutter,0.025084056,0.005134375
Global,All ages,Both,Attention-deficit/hyperactivity disorder,0.0,0.0
Global,All ages,Both,Autism spectrum disorders,0.0,0.0
Global,All ages,Both,Bacterial skin diseases,0.015782883,0.001358617
Global,All ages,Both,Bipolar disorder,0.0,0.0
Global,All ages,Both,Bladder cancer,0.007628679,0.0035132
Global,All ages,Both,Blindness and vision impairment,0.0,0.0
Global,All ages,Both,Brain and nervous system cancer,0.00773168,0.004417517
Global,All ages,Both,Breast cancer,0.006460104,0.010932407
Global,All ages,Both,Cardiomyopathy and myocarditis,-0.010274713,0.006587431
Global,All ages,Both,Cervical cancer,-0.003746792,0.004641428
Global,All ages,Both,Chagas disease,-0.014737055,0.000140372
Global,All ages,Both,Chronic kidney disease,0.017414779,0.021988669
Global,All ages,Both,Chronic obstructive pulmonary disease,-0.00654463,0.057159165
Global,All ages,Both,Cirrhosis and other chronic liver diseases,-0.001088756,0.023645461
Global,All ages,Both,Colon and rectum cancer,0.009331637,0.016016364
Global,All ages,Both,Conduct disorder,0.0,0.0
Global,All ages,Both,Conflict and terrorism,0.032575746,0.00231874
Global,All ages,Both,Congenital birth defects,-0.025542925,0.010454063
Global,All ages,Both,Cystic echinococcosis,-0.051199381,2.138606245e-05
Global,All ages,Both,Cysticercosis,-0.036320894,1.339082388e-05
Global,All ages,Both,Decubitus ulcer,0.006573373,0.000363475
Global,All ages,Both,Dengue,0.036266847,0.000723339
Global,All ages,Both,Depressive disorders,0.0,0.0
Global,All ages,Both,Dermatitis,0.0,0.0
Global,All ages,Both,Diabetes mellitus,0.00902093,0.024485445
Global,All ages,Both,Diarrheal diseases,-0.019358474,0.02805331
Global,All ages,Both,Dietary iron deficiency,0.0,0.0
Global,All ages,Both,Diphtheria,-0.135042873,6.477768907e-05
Global,All ages,Both,Drowning,-0.03521056,0.005276737
